Pharmacy Name,License Number,License Type,License Status,Expiration Date,City,State,County,Zip
KAISER FOUNDATION HOSPITAL PHARMACY #10A MAIN PHARMACY,LSC 100349,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",OAKLAND,California,ALAMEDA,94611
KAISER FOUNDATION HOSPITAL PHARMACY #247,LSC 101843,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",SAN MARCOS,California,SAN DIEGO,92078
KAISER FOUNDATION HOSPITAL PHARMACY #28B/282,LSC 100362,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",FOLSOM,California,SACRAMENTO,95630
KAISER FOUNDATION HOSPITAL PHARMACY #367 MAIN PHARMACY,LSC 100371,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",ANAHEIM,California,ORANGE,92806
KAISER FOUNDATION HOSPITAL PHARMACY #372 MAIN PHARMACY,LSC 100372,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",IRVINE,California,ORANGE,92618
KAISER FOUNDATION HOSPITAL PHARMACY #37B/378 FL 3 MAIN PHARMACY,LSC 100641,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",REDWOOD CITY,California,SAN MATEO,94063
KAISER FOUNDATION HOSPITAL PHARMACY #529,LSC 100364,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",MORENO VALLEY,California,RIVERSIDE,92555
KAISER FOUNDATION HOSPITAL PHARMACY #61A MAIN PHARMACY,LSC 100281,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",SACRAMENTO,California,SACRAMENTO,95825
KAISER FOUNDATION HOSPITAL PHARMACY #63C,LSC 101578,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",SAN JOSE,California,SANTA CLARA,95119
KAISER FOUNDATION HOSPITAL PHARMACY #651,LSC 101571,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",ONTARIO,California,SAN BERNARDINO,91761
KAISER FOUNDATION HOSPITAL PHARMACY #71B,LSC 100367,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",RANCHO CORDOVA,California,SACRAMENTO,95670
KAISER FOUNDATION HOSPITAL PHARMACY #751,LSC 101064,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",SAN DIEGO,California,SAN DIEGO,92123
KAISER FOUNDATION HOSPITAL PHARMACY #85A,LSC 100368,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",MODESTO,California,STANISLAUS,95356
"KAISER FOUNDATION HOSPITAL PHARMACY #92A FL 2, RM 2228",LSC 100182,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",SAN LEANDRO,California,ALAMEDA,94577
KAISER FOUNDATION HOSPITAL PHARMACY #92A MAIN PHARMACY,LSC 100181,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",SAN LEANDRO,California,ALAMEDA,94577
KAISER FOUNDATION HOSPITAL PHARMACY - MAIN PHARMACY,LSC 100329,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",SAN DIEGO,California,SAN DIEGO,92120
"KAISER FOUNDATION HOSPITAL PHARMACY 151 - FL 2, RM 2126",LSC 100327,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",FONTANA,California,SAN BERNARDINO,92335
KAISER FOUNDATION HOSPITAL PHARMACY 151 - MAIN,LSC 100326,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",FONTANA,California,SAN BERNARDINO,92335
KAISER FOUNDATION HOSPITAL PHARMACY MAIN PHARMACY,LSC 100373,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",WOODLAND HILLS,California,LOS ANGELES,91367
KAISER FOUNDATION HOSPITAL PHARMACY MAIN PHARMACY,LSC 100365,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",RIVERSIDE,California,RIVERSIDE,92505
KAISER FOUNDATION HOSPITAL PHY #253 MAIN PHARMACY,LSC 100361,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",PANORAMA CITY,California,LOS ANGELES,91402
KAISER HEALTH PLAN PHARMACY NO 338,LSC 101631,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",SAN FRANCISCO,California,SAN FRANCISCO,94115
KAISER HOSPITAL PHARMACY #59A FL-1 RM W1D06,LSC 100079,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",ROSEVILLE,California,PLACER,95661
KAISER HOSPITAL PHARMACY #59A MAIN PHARMACY,LSC 100077,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",ROSEVILLE,California,PLACER,95661
KAISER ONCOLOGY PHARMACY #060,LSC 101381,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",DUBLIN,California,ALAMEDA,94568
KAISER ONCOLOGY PHARMACY #104,LSC 99547,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",OAKLAND,California,ALAMEDA,94611
KAISER ONCOLOGY PHARMACY #247,LSC 99394,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",SAN MARCOS,California,SAN DIEGO,92078
KAISER ONCOLOGY PHARMACY #520,LSC 99395,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",RIVERSIDE,California,RIVERSIDE,92505
KAISER ONCOLOGY PHARMACY #573,LSC 99472,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",ANTIOCH,California,CONTRA COSTA,94531
KAISER ONCOLOGY PHARMACY #598,LSC 101354,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",ROSEVILLE,California,PLACER,95661
KAISER ONCOLOGY PHARMACY #680,LSC 101264,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",STOCKTON,California,SAN JOAQUIN,95210
KAISER ONCOLOGY PHARMACY #854,LSC 101148,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",MODESTO,California,STANISLAUS,95356
KAISER ONCOLOGY PHARMACY #868,LSC 101544,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",PALM DESERT,California,RIVERSIDE,92211
KAISER ONCOLOGY PHRMCY #081,LSC 99566,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",BELLFLOWER,California,LOS ANGELES,90706
KAISER ONCOLOGY PHRMCY #170,LSC 99492,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",FONTANA,California,SAN BERNARDINO,92335
KAISER ONCOLOGY PHRMCY #638,LSC 99526,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",SAN JOSE,California,SANTA CLARA,95119
KAISER PERMANENTE HOME INFUSION PHARMACY #620,LSC 101867,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",SACRAMENTO,California,SACRAMENTO,95838
KAISER PERMANENTE ONCOLOGY PHARMACY #014C,LSC 101708,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",LOS ANGELES,California,LOS ANGELES,90027
KAISER PERMANENTE ONCOLOGY PHARMACY #168,LSC 101681,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",FREMONT,California,ALAMEDA,94538
KAISER PERMANENTE ONCOLOGY PHARMACY #379,LSC 101665,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",REDWOOD CITY,California,SAN MATEO,94063
KAISER PERMANENTE ONCOLOGY PHARMACY #675,LSC 101666,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",VACAVILLE,California,SOLANO,95688
KAISER PERMANENTE PHARMACY #005C,LSC 99821,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",LOS ANGELES,California,LOS ANGELES,90027
KAISER PERMANENTE PHARMACY #122C,LSC 101587,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",HARBOR CITY,California,LOS ANGELES,90710
KAISER PERMANENTE PHARMACY #162,LSC 100874,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",FONTANA,California,SAN BERNARDINO,92335
KAISER PERMANENTE PHARMACY #171,LSC 101362,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",ONTARIO,California,SAN BERNARDINO,91761
KAISER PERMANENTE PHARMACY #181,LSC 100176,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",BERKELEY,California,ALAMEDA,94710
KAISER PERMANENTE PHARMACY #221,LSC 99802,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",SAN DIEGO,California,SAN DIEGO,92120
KAISER PERMANENTE PHARMACY #252,LSC 100630,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",PANORAMA CITY,California,LOS ANGELES,91402
KAISER PERMANENTE PHARMACY #257C,LSC 101360,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",PANORAMA,California,LOS ANGELES,91402
KAISER PERMANENTE PHARMACY #260C,LSC 100634,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",LANCASTER,California,LOS ANGELES,93534
KAISER PERMANENTE PHARMACY #271C,LSC 101173,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",SANTA CLARITA,California,LOS ANGELES,91355
KAISER PERMANENTE PHARMACY #305C - RM 4644,LSC 101065,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",LOS ANGELES,California,LOS ANGELES,90034
KAISER PERMANENTE PHARMACY #363C,LSC 100819,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",ANAHEIM,California,ORANGE,92806
KAISER PERMANENTE PHARMACY #374C,LSC 100761,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",IRVINE,California,ORANGE,92618
KAISER PERMANENTE PHARMACY #376,LSC 99961,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",ORANGE,California,ORANGE,92868
KAISER PERMANENTE PHARMACY #398,LSC 101107,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",SAN RAFAEL,California,MARIN,94903
KAISER PERMANENTE PHARMACY #401,LSC 99751,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",WOODLAND HILLS,California,LOS ANGELES,91367
KAISER PERMANENTE PHARMACY #414,LSC 99345,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",SANTA CLARA,California,SANTA CLARA,95051
KAISER PERMANENTE PHARMACY #514,LSC 99814,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",WALNUT CREEK,California,CONTRA COSTA,94596
KAISER PERMANENTE PHARMACY #524C,LSC 101833,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",MURRIETA,California,RIVERSIDE,92563
KAISER PERMANENTE PHARMACY #531C,LSC 101737,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",MORENO VALLEY,California,RIVERSIDE,92555
KAISER PERMANENTE PHARMACY #551C,LSC 100786,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",BALDWIN PARK,California,LOS ANGELES,91706
KAISER PERMANENTE PHARMACY #607,LSC 99875,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",SACRAMENTO,California,SACRAMENTO,95823
KAISER PERMANENTE PHARMACY #612,LSC 99850,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",BAKERSFIELD,California,KERN,93301
KAISER PERMANENTE PHARMACY #612T2,LSC 101903,Sterile Compounding Pharmacy,CLEAR,"March 17, 2025",BAKERSFIELD,California,KERN,93301
KAISER PERMANENTE PHARMACY #889C,LSC 101144,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",VENTURA,California,VENTURA,93003
KAISER PERMANENTE PHARMACY #922,LSC 100180,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",SAN LEANDRO,California,ALAMEDA,94577
KAISER PERMANENTE PHARMACY #979,LSC 101208,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",SACRAMENTO,California,SACRAMENTO,95814
KAISER PERMANENTE PHY #193,LSC 99962,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",FONTANA,California,SAN BERNARDINO,92337
KAISER ZION ONCOLOGY PHARMACY #202C,LSC 101561,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",SAN DIEGO,California,SAN DIEGO,92120
KAWEAH HEALTH ACEQUIA WING SATALITE PHARMACY,LSE 100586,Sterile Compounding Pharmacy (Government Owned),CLEAR,"August 1, 2025",VISALIA,California,TULARE,93291
KAWEAH HEALTH HOME INFUSION PHARMACY,LSE 100168,Sterile Compounding Pharmacy (Government Owned),CLEAR,"August 1, 2025",VISALIA,California,TULARE,93291
KAWEAH HEALTH MEDICAL CENTER PHARMACY,LSE 100102,Sterile Compounding Pharmacy (Government Owned),CLEAR,"August 1, 2025",VISALIA,California,TULARE,93291
KECK HOSPITAL OF USC - ARCADIA TREATMENT CENTER,LSC 101647,Sterile Compounding Pharmacy,CLEAR,"January 1, 2026",ARCADIA,California,LOS ANGELES,91006
KECK HOSPITAL OF USC - NORRIS HEALTHCARE CENTER PHARMACY,LSC 101649,Sterile Compounding Pharmacy,CLEAR,"January 1, 2026",LOS ANGELES,California,LOS ANGELES,90033
KECK HOSPITAL OF USC 4TH FLOOR OR PHARMACY,LSC 101653,Sterile Compounding Pharmacy,CLEAR,"January 1, 2026",LOS ANGELES,California,LOS ANGELES,90033
KECK HOSPITAL OF USC 9TH FLOOR PHARMACY,LSC 101651,Sterile Compounding Pharmacy,CLEAR,"January 1, 2026",LOS ANGELES,California,LOS ANGELES,90033
KECK HOSPITAL OF USC MAIN PHARMACY,LSC 101654,Sterile Compounding Pharmacy,CLEAR,"January 1, 2026",LOS ANGELES,California,LOS ANGELES,90033
KECK MEDICINE OF USC-NEWPORT PHARMACY,LSC 101741,Sterile Compounding Pharmacy,CLEAR,"August 1, 2025",NEWPORT BEACH,California,ORANGE,92663
KENTFIELD HOSPITAL,LSC 99964,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",KENTFIELD,California,MARIN,94904
KENTFIELD HOSPITAL SAN FRANCISCO,LSC 100949,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",SAN FRANCISCO,California,SAN FRANCISCO,94117
KERN MEDICAL CENTER PHARMACY RM 1150,LSE 100978,Sterile Compounding Pharmacy (Government Owned),CLEAR,"September 1, 2025",BAKERSFIELD,California,KERN,93306
KERN VALLEY HEALTHCARE DISTRICT,LSE 99321,Sterile Compounding Pharmacy (Government Owned),CLEAR,"September 1, 2025",LAKE ISABELLA,California,KERN,93240
KINDRED HOSPITAL BALDWIN PARK,LSC 101720,Sterile Compounding Pharmacy,CLEAR,"December 1, 2025",BALDWIN PARK,California,LOS ANGELES,91706
KINDRED HOSPITAL BREA,LSC 101730,Sterile Compounding Pharmacy,CLEAR,"December 1, 2025",BREA,California,ORANGE,92821
KINDRED HOSPITAL LA MIRADA,LSC 101726,Sterile Compounding Pharmacy,CLEAR,"December 1, 2025",LA MIRADA,California,LOS ANGELES,90638
KINDRED HOSPITAL LOS ANGELES,LSC 101718,Sterile Compounding Pharmacy,CLEAR,"December 1, 2025",LOS ANGELES,California,LOS ANGELES,90056
KINDRED HOSPITAL ONTARIO,LSC 101727,Sterile Compounding Pharmacy,CLEAR,"December 1, 2025",ONTARIO,California,SAN BERNARDINO,91764
KINDRED HOSPITAL PARAMOUNT,LSC 101721,Sterile Compounding Pharmacy,CLEAR,"December 1, 2025",PARAMOUNT,California,LOS ANGELES,90723
KINDRED HOSPITAL RANCHO,LSC 101724,Sterile Compounding Pharmacy,CLEAR,"December 1, 2025",RANCHO CUCAMONGA,California,SAN BERNARDINO,91730
KINDRED HOSPITAL RIVERSIDE,LSC 101723,Sterile Compounding Pharmacy,CLEAR,"December 1, 2025",PERRIS,California,RIVERSIDE,92571
KINDRED HOSPITAL SAN DIEGO,LSC 101725,Sterile Compounding Pharmacy,CLEAR,"December 1, 2025",SAN DIEGO,California,SAN DIEGO,92104
KINDRED HOSPITAL SAN FRANCISCO BAY AREA,LSC 101716,Sterile Compounding Pharmacy,CLEAR,"December 1, 2025",SAN LEANDRO,California,ALAMEDA,94577
KINDRED HOSPITAL SAN GABRIEL VALLEY,LSC 101717,Sterile Compounding Pharmacy,CLEAR,"December 1, 2025",WEST COVINA,California,LOS ANGELES,91791
KINDRED HOSPITAL SANTA ANA,LSC 101719,Sterile Compounding Pharmacy,CLEAR,"December 1, 2025",SANTA ANA,California,ORANGE,92706
KINDRED HOSPITAL SOUTH BAY,LSC 101722,Sterile Compounding Pharmacy,CLEAR,"December 1, 2025",GARDENA,California,LOS ANGELES,90247
KINDRED HOSPITAL WESTMINSTER,LSC 101729,Sterile Compounding Pharmacy,CLEAR,"December 1, 2025",WESTMINSTER,California,ORANGE,92682
LA JOLLA DISCOUNT PHARMACY,LSC 99245,Sterile Compounding Pharmacy,CLEAR,"October 1, 2025",LA JOLLA,California,SAN DIEGO,92037
LA PALMA INTERCOMMUNITY HOSPITAL,LSC 101606,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",LA PALMA,California,ORANGE,90623
LA PALMA INTERCOMMUNITY HOSPITAL,LSC 101736,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",LA PALMA,California,ORANGE,90623
LAC HARBOR UCLA MEDICAL CENTER PHARMACY 3RD FLOOR SATELLITE,LSE 100195,Sterile Compounding Pharmacy (Government Owned),CLEAR,"August 1, 2025",TORRANCE,California,LOS ANGELES,90502
LAC HARBOR UCLA MEDICAL CENTER PHARMACY 6TH FLOOR SATELLITE,LSE 100196,Sterile Compounding Pharmacy (Government Owned),CLEAR,"August 1, 2025",TORRANCE,California,LOS ANGELES,90502
LAC HARBOR UCLA MEDICAL CENTER PHARMACY MAIN PHARMACY,LSE 100193,Sterile Compounding Pharmacy (Government Owned),CLEAR,"August 1, 2025",TORRANCE,California,LOS ANGELES,90502
LAC HARBOR UCLA MEDICAL CENTER PHARMACY SE 1H09,LSE 100468,Sterile Compounding Pharmacy (Government Owned),CLEAR,"August 1, 2025",TORRANCE,California,LOS ANGELES,90502
LEE SILSBY COMPOUNDING PHARMACY,NSC 101846,Nonresident Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",BEACHWOOD,Ohio,OUT OF STATE,44122
LLUMC - EAST CAMPUS HOSPITAL PHARMACY,LSC 100286,Sterile Compounding Pharmacy,CLEAR,"February 1, 2025",LOMA LINDA,California,SAN BERNARDINO,92354
LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,LSC 101638,Sterile Compounding Pharmacy,CLEAR,"October 1, 2025",LOMA LINDA,California,SAN BERNARDINO,92354
LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL PHARMACY,LSC 100716,Sterile Compounding Pharmacy,CLEAR,"October 1, 2025",LOMA LINDA,California,SAN BERNARDINO,92354
LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL PHARMACY (NICU-3RD),LSC 100715,Sterile Compounding Pharmacy,CLEAR,"October 1, 2025",LOMA LINDA,California,SAN BERNARDINO,92354
LOMA LINDA UNIVERSITY CHILDRENS HOSPITAL,LSC 101156,Sterile Compounding Pharmacy,CLEAR,"October 1, 2025",LOMA LINDA,California,SAN BERNARDINO,92354
LOMA LINDA UNIVERSITY CHILDRENS HOSPITAL PEDIATRIC HEMATOLOGY/ONC,LSC 100953,Sterile Compounding Pharmacy,CLEAR,"August 1, 2025",SAN BERNARDINO,California,SAN BERNARDINO,92408
LOMA LINDA UNIVERSITY HOSPITAL PHARMACY- 14TH FLOOR,LSC 101637,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",LOMA LINDA,California,SAN BERNARDINO,92354
LOMA LINDA UNIVERSITY HOSPITAL PHARMACY-3RD FLOOR,LSC 101642,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",LOMA LINDA,California,SAN BERNARDINO,92354
LOMA LINDA UNIVERSITY HOSPITAL PHARMACY-6TH FLOOR,LSC 101640,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",LOMA LINDA,California,SAN BERNARDINO,92354
LOMA LINDA UNIVERSITY HOSPITAL PHARMACY-ADULT CANCER CENTER,LSC 100420,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",LOMA LINDA,California,SAN BERNARDINO,92354
LOMA LINDA UNIVERSITY HOSPITAL PHARMACY-BASEMENT,LSC 101641,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",LOMA LINDA,California,SAN BERNARDINO,92354
LOMA LINDA UNIVERSITY MEDICAL CENTER - HOSPITAL PHARMACY (2ND FLO,LSC 100419,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",LOMA LINDA,California,SAN BERNARDINO,92354
LOMA LINDA UNIVERSITY MEDICAL CENTER - MURRIETA,LSC 100579,Sterile Compounding Pharmacy,CLEAR,"December 1, 2025",MURRIETA,California,RIVERSIDE,92563
LOMA LINDA UNIVERSITY MEDICAL CENTER ADULT INFUSION PHARMACY HIGH,LSC 100001,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",BEAUMONT,California,RIVERSIDE,92223
LOMA LINDA UNIVERSITY SURGICAL HOSPITAL,LSC 100604,Sterile Compounding Pharmacy,CLEAR,"February 1, 2025",REDLANDS,California,SAN BERNARDINO,92373
LOMPOC VALLEY MEDICAL CENTER,LSE 100003,Sterile Compounding Pharmacy (Government Owned),CLEAR,"September 1, 2025",LOMPOC,California,SANTA BARBARA,93436
LOMPOC VALLEY MEDICAL CENTER HEMATOLOGY-ONCOLOGY PHARMACY,LSE 101590,Sterile Compounding Pharmacy (Government Owned),CLEAR,"March 1, 2025",LOMPOC,California,SANTA BARBARA,93436
LONG BEACH MEMORIAL MEDICAL CENTER,LSC 99890,Sterile Compounding Pharmacy,CLEAR,"April 1, 2025",LONG BEACH,California,LOS ANGELES,90806
LOS ANGELES COMMUNITY HOSPITAL AT NORWALK,LSC 101525,Sterile Compounding Pharmacy,CLEAR,"June 1, 2025",NORWALK,California,LOS ANGELES,90650
LOS ANGELES COMMUNITY HOSPITAL PHARMACY,LSC 101529,Sterile Compounding Pharmacy,CLEAR,"June 1, 2025",LOS ANGELES,California,LOS ANGELES,90023
LOS ANGELES COUNTY HIGH DESERT REGIONAL HEALTH CENTER PHARMACY,LSE 100512,Sterile Compounding Pharmacy (Government Owned),CLEAR,"September 1, 2025",LANCASTER,California,LOS ANGELES,93535
LOS ANGELES GENERAL MEDICAL CENTER INPATIENT PHARMACY,LSE 100024,Sterile Compounding Pharmacy (Government Owned),CLEAR,"August 1, 2025",LOS ANGELES,California,LOS ANGELES,90033
LOS ANGELES GENERAL MEDICAL CENTER INPATIENT PHARMACY,LSE 101211,Sterile Compounding Pharmacy (Government Owned),CLEAR,"August 1, 2025",LOS ANGELES,California,LOS ANGELES,90033
LOS ANGELES GENERAL MEDICAL CENTER INPATIENT PHARMACY,LSE 101210,Sterile Compounding Pharmacy (Government Owned),CLEAR,"August 1, 2025",LOS ANGELES,California,LOS ANGELES,90033
LOS ANGELES GENERAL MEDICAL CENTER INPATIENT PHARMACY,LSE 101149,Sterile Compounding Pharmacy (Government Owned),CLEAR,"August 1, 2025",LOS ANGELES,California,LOS ANGELES,90033
LOS ANGELES GENERAL MEDICAL CENTER INPATIENT PHARMACY,LSE 100026,Sterile Compounding Pharmacy (Government Owned),CLEAR,"August 1, 2025",LOS ANGELES,California,LOS ANGELES,90033
LOS ROBLES HOSPITAL AND MEDICAL CENTER,LSC 101413,Sterile Compounding Pharmacy,CLEAR,"March 1, 2025",THOUSAND OAKS,California,VENTURA,91360
LPCH CHILDRENS HOME PHARMACY,LSC 100481,Sterile Compounding Pharmacy,CLEAR,"April 1, 2025",MENLO PARK,California,SAN MATEO,94025
LUCILE PACKARD CHILDREN'S HOSPITAL RM 2875 INPATIENT PHARMACY,LSC 100294,Sterile Compounding Pharmacy,CLEAR,"May 1, 2025",PALO ALTO,California,SANTA CLARA,94304
LUCILE SALTER PACKARD CHILDRENS HSP,LSC 101092,Sterile Compounding Pharmacy,CLEAR,"May 1, 2025",PALO ALTO,California,SANTA CLARA,94304
LUCILE SALTER PACKARD CHILDRENS HSP,LSC 101093,Sterile Compounding Pharmacy,CLEAR,"May 1, 2025",PALO ALTO,California,SANTA CLARA,94304
LUCILE SALTER PACKARD CHILDRENS HSP,LSC 101094,Sterile Compounding Pharmacy,CLEAR,"May 1, 2025",PALO ALTO,California,SANTA CLARA,94304
LUNDQUIST INSTITUTE FOR BIOMEDICAL INNOVATION,LSC 99417,Sterile Compounding Pharmacy,CLEAR,"September 1, 2025",TORRANCE,California,LOS ANGELES,90502
LYNNFIELD DRUG INC DBA FREEDOM FERTILITY PHARMACY,NSC 101281,Nonresident Sterile Compounding Pharmacy,CLEAR,"December 1, 2025",BYFIELD,Massachusetts,OUT OF STATE,01922
MAD RIVER COMMUNITY HOSPITAL PHARMACY,LSC 99418,Sterile Compounding Pharmacy,CLEAR,"August 1, 2025",ARCATA,California,HUMBOLDT,95521
MADERA COMMUNITY HOSPITAL,LSC 101930,Sterile Compounding Pharmacy,CLEAR,"March 17, 2025",MADERA,California,MADERA,93637
MAMMOTH HOSPITAL,LSE 100517,Sterile Compounding Pharmacy (Government Owned),CLEAR,"October 1, 2025",MAMMOTH LAKES,California,MONO,93546
MANDELL'S CLINICAL PHARMACY,NSC 100165,Nonresident Sterile Compounding Pharmacy,CLEAR,"October 1, 2025",SOMERSET,New Jersey,OUT OF STATE,08873
MARIAN REGIONAL MEDICAL CENTER,LSC 101335,Sterile Compounding Pharmacy,CLEAR,"January 1, 2026",SANTA MARIA,California,SANTA BARBARA,93454
MARIAN REGIONAL MEDICAL CENTER ARROYO GRANDE,LSC 101462,Sterile Compounding Pharmacy,CLEAR,"January 1, 2026",ARROYO GRANDE,California,SAN LUIS OBISPO,93420
"MARIN GENERAL HOSPITAL PHARMACY MAIN PHARMACY, 2ND FLOOR",LSC 100301,Sterile Compounding Pharmacy,CLEAR,"March 1, 2025",GREENBRAE,California,MARIN,94904
"MARIN GENERAL HOSPITAL PHARMACY SATELLITE PHARAMCY, 5TH FLOOR",LSC 100302,Sterile Compounding Pharmacy,CLEAR,"March 1, 2025",GREENBRAE,California,MARIN,94904
MARINER ADVANCED PHARMACY,LSC 101933,Sterile Compounding Pharmacy,CLEAR,"April 15, 2025",REDWOOD CITY,California,SAN MATEO,94063
MARK TWAIN MEDICAL CENTER,LSC 101415,Sterile Compounding Pharmacy,CLEAR,"May 1, 2025",SAN ANDREAS,California,CALAVERAS,95249
MARSHALL HOSPITAL PHARMACY; 2ND FLOOR SURGERY WING,LSC 100131,Sterile Compounding Pharmacy,CLEAR,"February 1, 2025",PLACERVILLE,California,EL DORADO,95667
MARSHALL MEDICAL ONCOLOGY PHARMACY,LSC 100768,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",CAMERON PARK,California,EL DORADO,95682
MARTIN LUTHER KING JR COMMUNITY HOSPITAL PHARMACY,LSC 101538,Sterile Compounding Pharmacy,CLEAR,"March 1, 2025",LOS ANGELES,California,LOS ANGELES,90059
MARTIN LUTHER KING JR OUTPATIENT CENTER PHARMACY,LSE 99384,Sterile Compounding Pharmacy (Government Owned),CLEAR,"September 1, 2025",LOS ANGELES,California,LOS ANGELES,90059
MAYERS MEMORIAL HOSPITAL PHARMACY,LSE 99089,Sterile Compounding Pharmacy (Government Owned),CLEAR,"October 1, 2025",FALL RIVER MILLS,California,SHASTA,96028
MEDRX INFUSION CLINICAL PHARMACY,LSC 100692,Sterile Compounding Pharmacy,CLEAR,"October 1, 2025",INGLEWOOD,California,LOS ANGELES,90302
MEDSPECIALTIES COMPOUNDING PHARMACY,LSC 101110,Sterile Compounding Pharmacy,CLEAR,"December 1, 2025",YORBA LINDA,California,ORANGE,92886
MEMORIAL HOSPITAL LOS BANOS PHARMACY,LSC 101056,Sterile Compounding Pharmacy,CLEAR,"May 1, 2025",LOS BANOS,California,MERCED,93635
MEMORIAL HOSPITAL OF GARDENA,LSC 101969,Sterile Compounding Pharmacy,CLEAR,"May 15, 2025",GARDENA,California,LOS ANGELES,90247
MEMORIAL MEDICAL CENTER PHARMACY- INPATIENT,LSC 101246,Sterile Compounding Pharmacy,CLEAR,"May 1, 2025",MODESTO,California,STANISLAUS,95355
